name,score,color,socio,pop,match
כפר קאסם,10,red,-0.786,23242,100
לקיה,10,red,-1.961,13394,100
עין מאהל,9.986759855043832,red,-1.177,13130,100
דאלית אל-כרמל,9.738930576135354,red,-0.267,17426,100
טירה,9.70872545495049,red,-0.386,26163,100
ג'לג'וליה,9.47308917795624,red,-1.066,9983,100
מעלה עירון,9.464162214498016,red,-1.193,14833,100
עמנואל,9.43998797280211,red,-1.607,3693,100
עספיא,9.313270790661642,red,-0.3,12354,100
בית ג'ן,9.067055376600113,red,-0.597,11865,100
כסרא-סמיע,8.803553075670699,red,-0.821,8649,100
ביתר עילית,8.755997865124373,red,-1.936,56746,100
כעביה-טבאש-חג'אג'רה,8.663228032997072,red,-0.995,5409,100
טבריה,8.559770021367557,red,-0.416,44233,100
אום אל-פחם,8.491004700008569,red,-1.327,55183,100
פוריידיס,8.441938925761212,red,-0.938,13086,100
בוקעאתא,8.38485801104001,red,-1.133,6528,100
ג'ת,8.251964980164075,red,-0.233,11799,100
רכסים,8.24822746092869,red,-1.415,12110,100
אעבלין,8.200307484228757,red,-0.767,13128,100
כפר כנא,8.05751163927053,red,-1.139,22399,100
כפר ברא,8.033924405954005,red,-0.724,3594,100
טייבה,7.893088136779194,red,-0.848,43128,100
בני ברק,7.887809756834645,red,-1.307,198863,100
ערערה,7.765904095133664,red,-0.752,24905,100
זמר,7.743117143886847,red,-0.574,6939,100
אבו סנאן,7.730604965992901,red,-0.753,13915,100
קלנסווה,7.696913270914091,red,-0.974,22788,100
אלעד,7.6898532698341,red,-1.436,47865,100
נצרת,7.57745331146414,red,-0.592,77063,100
דייר חנא,7.47190048744244,orange,-0.789,10259,100
סאג'ור,7.392639207789064,orange,-0.597,4209,100
סח'נין,7.300742339939284,orange,-0.761,31056,100
ג'דיידה-מכר,7.292431150745402,orange,-0.999,20920,100
אשדוד,7.256855065085334,orange,-0.14,224629,100
בית שמש,7.174631110928583,orange,-1.214,118676,100
מג'ד אל-כרום,7.149350115326429,orange,-0.914,15292,100
רהט,7.100082744002634,orange,-1.915,69033,100
טורעאן,6.995676038694405,orange,-0.86,14036,100
אשקלון,6.972002047127323,orange,-0.038,140967,100
אופקים,6.935963649125822,orange,-0.698,29021,100
באקה אל-גרביה,6.935745091726282,orange,-0.715,29394,100
כפר מנדא,6.925158289933118,orange,-1.373,19843,100
יפיע,6.697241858378463,orange,-0.823,18905,100
בועיינה-נוג'ידאת,6.695315282565346,orange,-1.141,9645,100
ג'ולס,6.637342193379598,orange,-0.378,6375,100
נתיבות,6.624255433317363,orange,-0.693,35631,100
רמלה,6.575278588643145,orange,-0.278,75538,100
מגאר,6.571339131348426,orange,-0.968,22609,100
ירושלים,6.519244843754182,orange,-0.919,919438,100
גבעת שמואל,6.451440543876102,orange,1.067,26023,100
מודיעין עילית,6.419035827456549,orange,-2.099,73080,100
בענה,6.401208792657809,orange,-1.188,8300,100
אור עקיבא,6.320765796941897,orange,-0.024,18237,100
חיפה,6.291429538108006,orange,0.529,283640,100
נשר,6.273742428833219,orange,0.711,23982,100
ריינה,6.259901003312936,orange,-0.902,18890,100
קרית מלאכי,6.172248319626013,orange,-0.544,23124,95
עכו,6.046763135143148,orange,-0.39,48929,100
קרית יערים,6.046014192868972,orange,-1.076,5565,95
בת ים,6.026633417527561,orange,-0.062,128774,100
אבו גוש,5.945676098697703,yellow,-0.762,7543,100
טמרה,5.94338202909328,yellow,-1.004,33851,100
שוהם,5.923008301627873,yellow,1.674,20990,100
עילוט,5.89466979238748,yellow,-1.268,8192,100
כוכב יאיר,5.885209355682911,yellow,1.863,8772,100
פתח תקווה,5.869053096240386,yellow,0.656,244275,100
הוד השרון,5.868958729975054,yellow,1.512,62325,100
מעיליא,5.8652474566983,yellow,0.618,3254,100
משהד,5.840374851896457,yellow,-1.095,8219,100
קרית מוצקין,5.8359875073156,yellow,0.566,42014,96
נתניה,5.831412367435967,yellow,0.199,217243,100
גבעת זאב,5.811193794210078,yellow,0.032,17922,100
כפר קרע,5.808702597100974,yellow,-0.315,18675,100
דימונה,5.782565240827057,yellow,-0.3,34135,100
ראמה,5.749387248549186,yellow,-0.305,7651,100
אפרת,5.734989943218097,yellow,0.425,10088,100
חולון,5.709959117312223,yellow,0.502,194273,100
נהריה,5.693185653279713,yellow,0.393,56880,91
מגדל העמק,5.685332706736388,yellow,-0.252,25636,100
אורנית,5.672635652619724,yellow,1.293,8807,100
קרית שמונה,5.641117930474181,yellow,0.016,22624,95
